Date,Crop Type,Grade,Market Price,Demand,Supply,Weather Condition,Rainfall (mm),Temperature (°C),Distance to Market (km),Transport Cost,Peak Season
2024-01-01,Wheat,B,255.12510678085093,1245,800,Clear,2.114993744367817,33.12598370346343,35.29082661119487,50.89184684010142,0
2024-01-02,Wheat,C,234.18867921410865,1395,790,Clear,18.451649390556714,23.335894159250735,31.407377522946934,51.45599557140152,0
2024-01-03,Wheat,A,228.40046058355205,527,448,Cloudy,14.808867102274686,32.56569294054667,42.037656642652,53.0303152140886,0
2024-01-04,Wheat,C,275.60285019341563,1273,804,Cloudy,18.68088676151908,15.182299751968031,40.213946579672324,76.79891205928679,0
2024-01-05,Wheat,B,284.523977488497,1152,1243,Clear,16.759092514625696,31.15008021895857,22.689840543296334,96.43065408469788,0
2024-01-06,Wheat,C,175.00569889566134,648,831,Clear,2.6955750826502523,25.23636656263329,26.798920685949028,62.94417127903401,0
2024-01-07,Wheat,C,199.9974689013436,1433,964,Clear,3.9229951183482203,16.099386676671713,13.92271007523231,71.5848319971254,0
2024-01-08,Wheat,C,165.17188268062853,922,810,Cloudy,19.453175784195675,28.541288430074225,13.90631752751756,92.35806249893793,0
2024-01-09,Wheat,B,281.5388992853135,1310,919,Clear,6.515491407374434,19.337101756744374,15.64364261538218,89.69458348800589,0
2024-01-10,Wheat,B,122.35977666530144,865,1239,Rainy,16.033786027697417,34.7697995049434,37.80908645753763,84.84989203607762,0
2024-01-11,Wheat,A,109.55511119196117,1079,915,Cloudy,1.6277973888674757,34.47156507765391,19.3800259271097,41.61900337194017,0
2024-01-12,Wheat,B,278.24589685172384,1392,454,Cloudy,15.658753302755361,29.329147571115612,43.52745899784147,70.19817565543656,0
2024-01-13,Wheat,C,130.14357088650468,1153,433,Clear,7.416719509388477,19.40016191692604,35.568632851659814,89.06581248979299,0
2024-01-14,Wheat,B,119.1129682175036,748,515,Clear,1.5658662890655273,34.41808490610758,47.60980572668876,85.50268340025943,0
2024-01-15,Wheat,C,117.78658171334195,1336,1298,Sunny,18.1626906505193,15.825946837100364,46.48396219799502,67.89668008667294,0
2024-01-16,Wheat,C,264.5008319130942,1474,857,Rainy,12.851093543036836,34.10560848042422,10.9222579000327,64.00395259880665,0
2024-01-17,Wheat,A,137.36743168852388,577,848,Clear,14.55951314410446,24.736812198791874,11.774935275406882,85.23383448880212,0
2024-01-18,Wheat,C,122.81522843628832,911,1339,Rainy,15.839825937142466,24.526978974974618,40.61836533593582,48.66318123422076,0
2024-01-19,Wheat,A,129.05467908172142,953,886,Cloudy,1.2640623741503032,28.85932390505512,34.912078397986306,78.74722943798929,0
2024-01-20,Wheat,B,217.68252918356777,559,1080,Sunny,9.50132433698804,17.055483875581952,15.937662859883348,93.70542843952764,0
2024-01-21,Wheat,A,264.75310043768394,994,487,Cloudy,2.1077549703440113,33.9717764858914,48.88007440035266,26.86017373408273,0
2024-01-22,Wheat,C,203.93527525079918,647,450,Sunny,5.951906714649704,15.894489506608876,49.32387283851685,33.21978135959645,0
2024-01-23,Wheat,A,279.7696925764859,1435,839,Cloudy,12.593647978027821,27.508281531277472,10.424688311862425,95.70071834792836,0
2024-01-24,Wheat,A,167.49842335394493,1070,596,Rainy,15.480297592073091,23.613575758252548,16.940550788272454,52.15096146918094,0
2024-01-25,Wheat,B,197.6891594355144,929,1113,Sunny,12.810452836535205,17.819528895380376,14.641206981470072,51.768368835282466,0
2024-01-26,Wheat,B,276.3707684898717,1188,530,Cloudy,10.953975301536333,31.769437745555813,30.326414362033937,34.09729582476683,0
2024-01-27,Wheat,B,250.59062530980566,1364,644,Clear,1.8915191925047226,30.122181192880333,18.864930849878615,64.87916751177653,0
2024-01-28,Wheat,C,186.92607264703912,1466,625,Cloudy,1.9684214928609856,19.988838076065875,35.356528861848986,82.72760270353943,0
2024-01-29,Wheat,A,180.57913778709846,561,879,Sunny,15.895655736244139,21.131019055898527,33.48065954609253,32.2283353031694,0
2024-01-30,Wheat,A,179.63647474580355,837,783,Sunny,9.65771370429258,23.746016911286947,32.802440536450334,99.23640944147874,0
2024-01-31,Wheat,C,124.19100716930896,511,748,Sunny,6.543139397148154,22.940410808739074,20.270450156088707,43.73492684448244,0
2024-02-01,Wheat,B,261.25044908762254,519,434,Clear,1.7280753851416097,29.6818253133124,18.24400206391136,93.0898833241521,0
2024-02-02,Wheat,A,117.08350944582848,1016,448,Clear,13.94287145347507,30.03594320081053,18.849603779263944,74.0035200726636,0
2024-02-03,Wheat,B,241.15603007795517,1433,829,Rainy,19.363078185561942,31.855845289079085,12.166522459187874,83.507400717257,0
2024-02-04,Wheat,A,185.78237585914914,974,587,Clear,12.238720117419195,28.893168649280522,46.24918013049171,63.90832044134366,0
2024-02-05,Wheat,C,148.13857559466223,1102,1043,Rainy,3.604796536064745,32.30355892081775,27.64722737088844,57.51176006140507,0
2024-02-06,Wheat,A,277.9935025980818,964,611,Rainy,14.396496259265925,24.16898613960699,43.734466641377225,84.99216277789618,0
2024-02-07,Wheat,B,186.80033101259164,745,831,Rainy,3.1316931600630404,24.696191209764088,35.20669845009609,33.007497030787405,0
2024-02-08,Wheat,C,174.86006514940013,515,778,Sunny,12.273878232022446,21.621524272253634,38.0823302873316,35.818998777776294,0
2024-02-09,Wheat,C,224.33076273346933,1491,1019,Sunny,1.485986404602413,29.871728522638684,47.024436022225494,43.7200939595973,0
